Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Gavião Peixoto,SP,73.10,243.77,4806.00,361138.78,87.23,72.70,59.38,81.38,89.99,97.09,80.46,85.67,90.40,53.11,61.62,40.01,57.37,77.62,62.54,89.01,692.38,111.04,18.34,1.89,96.39,95.10,99.66,38.27,97.41,93.11,96.75,99.91,0.00,0.00,4.20,20.97,0.20,0.00,7.46,4.24,5.34,0.00,96.44,78.54,87.92,93.82,93.56,73.14,220.89,404.92,26.71,16.73,11.30,2.08,6.40,1.30,39.35,4.00,6.00,293.99,375.85,49.46,61.38,3.00,13.39,21.41,0.25,8.18,0.44,0.69,,41.58,0.00,412.79,213.63,467.04
Jundiaí,SP,71.80,431.20,463039.00,141280.49,82.53,80.17,52.69,81.04,90.36,89.78,68.95,86.92,91.75,65.55,76.45,53.08,56.49,29.72,71.48,85.71,1068.88,91.63,9.94,3.24,93.39,98.24,99.30,33.39,94.54,70.72,92.91,99.33,8.55,2.16,6.85,19.92,0.16,1.32,5.96,3.62,6.13,1.58,99.80,83.88,78.50,97.86,77.22,76.94,156.27,409.93,26.38,6.05,2.03,0.26,10.35,17.38,34.81,8.00,10.00,415.17,767.32,63.08,78.75,9.00,6.17,3.96,0.28,161.85,0.32,0.72,56.94,315.86,305.72,129.17,134.66,580.00
Osvaldo Cruz,SP,71.76,248.04,32112.00,50300.45,88.62,72.37,54.30,78.97,94.77,97.85,82.89,87.07,80.95,58.14,63.32,36.67,59.70,76.98,43.86,95.25,1577.01,118.37,10.08,4.11,96.60,98.24,97.53,14.81,96.49,98.00,96.70,98.92,0.00,0.00,1.85,13.01,0.18,1.50,3.24,2.82,5.78,1.00,99.46,51.30,57.83,96.87,90.00,75.22,192.08,407.43,31.47,7.44,3.76,0.62,2.89,2.28,44.77,5.00,4.00,348.63,740.82,45.52,55.94,7.00,8.40,6.06,0.23,30.53,0.31,0.42,,4.96,0.00,60.32,75.32,561.84
Pompéia,SP,71.76,784.67,20520.00,122274.12,83.07,72.02,60.19,77.24,91.89,95.97,67.19,85.43,80.10,60.30,62.26,32.00,63.35,77.75,67.68,75.99,655.13,110.19,10.86,3.66,96.72,98.84,94.41,24.77,96.88,90.87,95.92,99.19,4.85,5.71,2.90,10.67,0.00,0.46,7.32,3.42,6.12,7.56,96.15,47.37,68.43,92.77,54.83,76.81,178.68,430.40,40.37,5.82,10.00,0.49,2.65,1.87,40.88,3.00,4.00,344.36,889.84,56.66,94.13,4.00,7.64,5.03,0.24,2.71,0.00,0.43,,3.83,0.00,155.27,125.22,555.60
Fernando de Noronha,PE,71.75,18.61,3341.00,91266.99,86.23,77.17,51.85,83.13,94.75,83.73,83.30,83.71,83.12,73.47,68.38,31.70,54.80,53.62,67.29,95.58,715.86,156.63,2.08,2.91,97.46,93.77,100.00,16.57,97.96,73.24,73.23,92.26,0.00,0.00,0.00,18.40,0.00,0.26,13.86,5.00,5.58,3.36,100.00,62.27,100.00,72.32,92.63,75.36,68.03,155.44,33.83,0.00,4.36,0.00,0.00,7.91,42.30,4.00,4.00,582.36,1462.19,59.93,98.16,2.00,10.31,2.93,0.28,48.57,0.33,0.46,,205.73,89.49,121.60,156.88,533.56
Curitiba,PR,71.29,435.28,1830795.00,65580.95,81.49,78.51,53.85,75.43,92.99,90.22,67.32,81.12,94.80,63.54,74.58,59.42,58.08,27.30,70.62,83.67,840.57,97.21,8.94,5.79,98.81,95.98,100.00,28.91,96.58,76.32,94.68,94.88,26.44,3.13,14.31,14.90,0.24,1.48,10.78,8.56,5.55,4.24,100.00,95.85,81.81,98.06,73.24,76.30,180.81,351.03,30.37,7.74,1.47,0.00,7.09,11.51,37.50,9.00,12.00,528.96,590.70,62.50,105.69,7.00,6.07,7.76,0.26,203.53,0.63,0.55,49.60,604.19,503.70,245.00,262.90,568.50
Nova Lima,MG,71.22,429.31,120959.00,102907.19,78.67,74.34,60.66,75.89,81.32,88.33,69.16,75.66,92.07,69.75,59.88,52.68,60.64,56.95,72.36,68.19,896.68,102.89,10.63,3.58,88.68,86.96,88.46,45.25,94.10,74.76,84.75,97.77,12.39,0.71,5.86,5.52,0.76,4.90,22.88,7.58,5.36,7.90,99.66,86.75,77.86,97.70,79.13,78.10,151.88,314.39,27.55,4.74,3.28,0.99,19.46,2.93,48.62,10.00,9.00,588.97,1946.00,65.06,92.61,8.00,6.27,8.30,0.26,48.39,0.13,0.95,,164.07,80.35,214.05,223.98,590.38
Gabriel Monteiro,SP,71.16,138.68,2813.00,44065.41,87.98,71.19,54.33,79.57,92.19,96.86,83.30,90.98,74.69,60.93,58.16,26.22,55.30,92.59,43.19,89.95,649.94,91.15,19.40,3.23,92.90,99.95,94.86,18.58,94.59,92.72,97.68,100.00,0.00,0.00,0.00,14.19,0.08,0.26,5.52,1.27,6.84,0.00,95.92,28.64,54.76,95.49,78.23,73.54,174.09,318.02,31.28,7.15,14.36,0.00,2.15,0.94,46.11,4.00,0.00,332.99,925.43,51.91,73.72,2.00,9.69,1.44,0.25,0.00,0.67,0.62,,0.00,0.00,54.05,76.37,568.72
Cornélio Procópio,PR,71.16,635.10,45720.00,52105.01,82.05,72.94,58.51,74.53,92.17,95.79,65.69,81.82,89.21,56.80,63.92,52.13,57.24,61.04,63.62,75.40,2108.48,126.24,14.80,2.93,98.92,99.47,99.03,34.22,98.83,99.22,89.35,96.24,24.04,3.34,12.96,30.23,0.04,0.94,13.36,5.54,5.29,5.34,97.59,85.28,69.41,96.79,91.67,75.86,227.80,413.82,28.57,10.81,3.53,0.22,6.88,2.91,43.58,7.00,10.00,344.43,1002.66,52.24,99.15,7.00,7.98,3.05,0.24,59.31,0.77,0.90,,250.40,78.88,108.24,125.27,549.40
Luzerna,SC,71.10,117.10,5951.00,58193.41,80.94,72.10,60.26,78.75,85.77,88.41,70.84,84.97,78.52,62.30,62.62,53.47,57.28,77.24,53.04,98.00,1358.91,97.74,19.99,3.71,85.33,99.59,93.96,35.64,49.47,98.73,97.13,89.68,17.35,0.00,10.21,13.60,0.00,2.02,11.86,4.48,6.56,5.50,72.58,52.86,78.75,96.23,84.19,77.59,129.19,336.17,32.56,23.82,7.11,1.68,8.77,4.06,43.30,11.00,7.00,718.98,623.56,49.96,83.32,5.00,5.24,9.38,0.29,0.00,0.22,0.93,,59.78,0.00,84.15,93.44,564.20
