Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Fernando de Noronha,PE,71.75,18.61,3341.00,91266.99,86.23,77.17,51.85,83.13,94.75,83.73,83.30,83.71,83.12,73.47,68.38,31.70,54.80,53.62,67.29,95.58,715.86,156.63,2.08,2.91,97.46,93.77,100.00,16.57,97.96,73.24,73.23,92.26,0.00,0.00,0.00,18.40,0.00,0.26,13.86,5.00,5.58,3.36,100.00,62.27,100.00,72.32,92.63,75.36,68.03,155.44,33.83,0.00,4.36,0.00,0.00,7.91,42.30,4.00,4.00,582.36,1462.19,59.93,98.16,2.00,10.31,2.93,0.28,48.57,0.33,0.46,,205.73,89.49,121.60,156.88,533.56
Belo Jardim,PE,65.57,647.45,84033.00,40812.87,79.35,66.24,51.13,76.28,84.75,94.28,62.08,72.75,77.51,53.07,61.65,58.41,62.66,47.72,35.72,88.10,632.36,186.21,13.94,2.84,79.36,92.53,100.00,34.35,79.76,97.80,91.39,98.67,42.19,4.73,26.29,17.50,1.80,2.26,28.48,6.96,4.15,7.06,94.89,47.00,52.62,95.72,68.02,71.95,242.69,498.83,25.14,7.30,2.15,0.71,25.25,4.77,47.91,12.00,9.00,488.35,1269.86,59.39,93.41,9.00,14.10,2.07,0.28,12.90,0.00,0.82,141.41,569.76,28.24,47.95,56.33,541.92
Santa Cruz do Capibaribe,PE,64.61,335.31,104854.00,20272.90,76.31,67.77,49.77,76.62,66.11,97.48,65.02,74.57,77.66,60.37,58.47,51.25,56.40,63.22,28.21,90.89,380.02,150.18,17.55,3.56,38.95,98.02,70.47,19.48,93.13,98.75,95.62,99.24,42.24,3.05,24.83,8.23,1.18,1.56,23.46,9.58,4.58,6.04,99.01,22.50,73.32,94.19,80.62,73.35,185.04,433.95,22.44,5.06,1.20,0.38,29.11,1.04,50.54,9.00,8.00,384.08,1411.67,49.46,77.12,8.00,13.16,0.85,0.27,7.65,0.24,0.91,33.06,145.61,3.55,33.49,40.72,527.45
Paulista,PE,64.25,96.93,365144.00,19167.82,71.16,71.61,49.99,67.06,75.58,87.92,54.07,79.76,76.66,62.83,67.17,59.64,54.31,58.72,27.30,49.48,795.91,137.51,15.60,4.20,80.30,61.53,95.91,51.31,81.36,81.25,81.73,98.50,73.01,3.90,28.16,8.89,1.24,0.20,17.20,4.34,4.37,2.26,100.00,24.09,61.14,96.88,89.96,74.77,187.29,406.40,21.18,3.54,0.76,0.00,11.54,6.86,47.36,12.00,10.00,781.03,1175.10,57.79,97.95,5.00,11.23,1.16,0.27,16.26,0.40,0.79,5.63,132.35,121.96,30.89,36.96,532.88
Petrolina,PE,63.93,4561.87,418444.00,25278.25,72.20,70.95,48.65,73.44,82.19,91.45,41.70,80.21,82.36,56.88,64.34,47.20,62.18,45.00,40.23,81.04,725.91,166.31,16.90,3.49,86.50,68.77,95.33,34.03,86.54,91.54,82.84,98.27,70.91,8.41,43.13,33.63,0.28,1.18,18.08,6.14,5.23,5.24,93.64,55.23,67.43,97.35,79.04,72.95,228.59,445.33,22.39,6.62,0.00,2.68,30.65,2.82,45.34,10.00,5.00,573.38,1102.61,48.34,91.52,10.00,14.30,4.41,0.28,27.66,0.26,0.79,35.23,1310.91,185.37,58.47,71.72,530.36
Caruaru,PE,63.87,919.07,405408.00,27721.29,76.49,67.97,47.15,77.25,84.68,94.67,49.37,76.70,78.59,57.07,59.52,55.32,53.03,38.65,41.60,89.76,675.12,168.42,13.49,3.08,82.40,83.04,99.09,31.37,87.10,95.53,90.36,99.30,73.28,5.25,37.66,16.79,0.84,1.52,22.88,7.78,4.67,4.46,98.89,29.13,65.98,97.62,78.11,72.96,211.55,450.06,24.63,6.09,1.84,0.30,35.61,6.02,51.81,11.00,9.00,689.80,1770.40,55.19,94.75,10.00,12.47,2.29,0.27,40.19,0.09,0.55,76.92,473.14,361.39,59.03,71.32,547.02
Surubim,PE,63.86,253.30,67821.00,16690.32,75.85,65.22,50.52,80.39,79.23,91.45,52.34,79.37,71.36,50.75,59.41,38.58,58.95,78.00,26.54,91.48,841.21,147.05,11.99,2.48,72.52,80.75,97.55,37.59,78.27,96.15,94.04,91.26,55.13,8.10,24.02,12.63,0.62,0.72,17.48,6.14,4.63,3.46,95.20,12.16,55.84,94.74,74.49,70.37,237.62,474.84,26.16,8.96,2.19,0.29,46.59,6.67,48.91,6.00,7.00,1394.46,3699.21,49.29,85.21,4.00,11.57,0.87,0.29,0.43,0.31,1.00,,16.78,6.82,23.61,30.97,558.91
Sairé,PE,63.84,190.46,11213.00,18210.92,70.94,68.72,51.87,80.15,64.40,86.73,52.48,79.30,74.46,63.62,57.50,36.50,53.52,83.35,34.12,85.32,863.51,122.99,12.71,2.50,54.59,2.49,96.23,20.16,58.45,91.14,80.41,97.34,64.98,3.56,26.61,23.05,1.52,0.04,15.20,5.02,4.72,5.42,95.94,49.96,39.94,92.14,33.33,72.05,222.63,341.28,23.49,3.56,5.86,1.78,27.08,4.82,50.80,4.00,6.00,535.36,951.22,60.93,94.47,4.00,15.96,0.36,0.28,0.00,0.22,0.89,,7.08,0.00,39.89,52.64,553.94
Serra Talhada,PE,63.67,2980.01,98816.00,20271.14,75.44,66.62,48.94,67.90,78.14,92.42,63.32,80.31,70.72,58.58,56.87,57.78,52.55,47.20,38.22,90.74,1245.63,178.59,14.22,6.79,70.55,81.82,95.56,37.52,68.80,96.95,91.59,98.04,38.36,2.79,23.81,25.22,0.22,0.80,16.48,6.62,4.93,3.68,80.49,38.64,52.53,91.30,75.83,72.97,211.66,440.82,22.39,5.41,3.52,4.35,25.38,1.57,50.49,9.00,11.00,341.75,1067.03,53.60,87.54,8.00,14.26,1.26,0.28,19.58,0.24,0.72,26.09,576.65,206.16,53.69,69.26,524.90
Itacuruba,PE,63.54,436.53,4491.00,18354.49,80.24,63.97,46.39,68.22,82.47,88.94,81.34,76.33,82.85,40.51,56.20,25.68,53.72,59.35,46.82,67.48,752.09,176.41,11.18,5.11,73.20,80.68,98.38,24.23,74.10,94.20,83.75,93.61,0.00,0.00,8.95,13.37,0.14,1.92,37.30,4.16,4.57,4.86,93.17,41.31,93.45,91.35,95.24,67.70,330.25,454.78,24.81,13.32,3.46,2.23,10.02,0.20,54.84,1.00,5.00,1050.57,1447.37,66.35,92.89,4.00,23.04,13.13,0.27,0.00,0.44,0.54,3.34,176.06,95.35,72.28,108.61,482.33
Quixaba,PE,63.47,210.71,6753.00,11239.75,73.57,61.78,55.06,80.04,56.34,92.02,65.89,85.56,56.90,55.21,49.46,45.32,53.07,83.54,38.30,92.71,577.09,123.79,10.40,3.80,49.10,49.85,59.76,32.02,44.41,98.60,99.29,99.75,13.03,5.93,8.85,14.70,0.60,0.66,10.70,2.88,5.84,1.98,64.20,0.19,32.34,96.01,74.46,70.14,228.12,409.60,24.35,2.96,9.71,5.92,39.12,0.55,54.52,13.00,0.00,442.69,815.64,42.79,111.65,2.00,13.14,3.35,0.27,0.00,0.44,0.93,,17.83,0.00,38.68,60.31,590.96
